Pi_theta,A_value,a_min
1e-40,2.7957242463805803e-52,0.0031622776601683794
1.263848202934292e-40,4.465644670405859e-52,0.0031622776601683794
1.5973122800602654e-40,7.133029070425073e-52,0.0031622776601683794
2.018760254679043e-40,1.1393674928216641e-51,0.0031622776601683794
2.551406520031282e-40,1.819925687785491e-51,0.0031622776601683794
3.2245905452963715e-40,2.9069896498968416e-51,0.0031622776601683794
4.075392965871795e-40,4.643370265788394e-51,0.0031622776601683794
5.150678076168122e-40,7.41691234641038e-51,0.0031622776601683794
6.509675230458137e-40,1.18471251710517e-50,0.0031622776601683794
8.227241341700524e-40,1.8923558519132258e-50,0.0031622776601683794
1.039798418481492e-39,3.022683240504852e-50,0.0031622776601683794
1.3141473626117527e-39,4.828169058790678e-50,0.0031622776601683794
1.6608827826277032e-39,7.712093727813239e-50,0.0031622776601683794
2.0991037201085632e-39,1.2318622016412038e-49,0.0031622776601683794
2.6529484644318945e-39,1.967668622023537e-49,0.0031622776601683794
3.352924149249539e-39,3.1429812530474052e-49,0.0031622776601683794
4.237587160604089e-39,5.020322551491902e-49,0.0031622776601683794
5.3556669177069074e-39,8.01902286136137e-49,0.0031622776601683794
6.768750009458514e-39,1.2808883690536317e-48,0.0031622776601683794
8.554672535565615e-39,2.0459787212756976e-48,0.0031622776601683794
1.0811807510766122e-38,3.268066936235724e-48,0.0031622776601683794
1.3664483492953244e-38,5.220123449308165e-48,0.0031622776601683794
1.7269832906594255e-38,8.338167289010346e-48,0.0031622776601683794
2.1826447283975006e-38,1.3318657003933256e-47,0.0031622776601683794
2.758531617629187e-38,2.1274054386292902e-47,0.0031622776601683794
3.4863652276780734e-38,3.398130831789505e-47,0.0031622776601683794
4.406236427773609e-38,5.427876106868871e-47,0.0031622776601683794
5.568813990945289e-38,8.670013160147207e-47,0.0031622776601683794
7.038135554931547e-38,1.3848718488987019e-46,0.0031622776601683794
8.895134973108182e-38,2.2120728105556253e-46,0.0031622776601683794
1.1242100350620932e-37,3.533371064687983e-46,0.0031622776601683794
1.4208308325339238e-37,5.643896991635637e-46,0.0031622776601683794
1.7957144943716336e-37,9.015065972134645e-46,0.0031622776601683794
2.269510536694687e-37,1.4399875582844336e-45,0.0031622776601683794
2.868316813342021e-37,2.300109809981686e-45,0.0031622776601683794
3.625117049988528e-37,3.67399364497077e-45,0.0031622776601683794
4.581597669054463e-37,5.868515165975091e-45,0.0031622776601683794
5.790443980602519e-37,9.373851340332073e-45,0.0031622776601683794
7.3182422190761814e-37,1.497296785737155e-44,0.0031622776601683794
9.249147277217297e-37,2.3916505427526824e-44,0.0031622776601683794
1.1689518164985872e-36,3.820212781551722e-44,0.0031622776601683794
1.4773776525985158e-36,6.102072788415649e-44,0.0031622776601683794
1.8671810912919168e-36,9.746915798757744e-44,0.0031622776601683794
2.3598334667821793e-36,1.55688682980689e-43,0.0031622776601683794
2.9824712862169063e-36,2.4868344519146827e-43,0.0031622776601683794
3.769390975388363e-36,3.9722512085201964e-43,0.0031622776601683794
4.763938010401321e-36,6.344925634853438e-43,0.0031622776601683794
6.020894493336174e-36,1.0134827632620735e-42,0.0031622776601683794
7.609496685459899e-36,1.6188484633878945e-42,0.0031622776601683794
9.617248711152945e-36,2.5858065301261332e-42,0.0031622776601683794
1.2154742500762785e-35,4.13034052443043e-42,0.0031622776601683794
1.536174946671836e-35,6.597443640503391e-42,0.0031622776601683794
1.9414919457438815e-35,1.0538177743981393e-41,0.0031622776601683794
2.4537511066398065e-35,1.683276071991899e-41,0.0031622776601683794
3.1011689265748007e-35,2.688717540524312e-41,0.0031622776601683794
3.9194067748472294e-35,4.294721545092848e-41,0.0031622776601683794
4.95353520895916e-35,6.860011463416091e-41,0.0031622776601683794
6.260516572014879e-35,1.095758055186889e-40,0.0031622776601683794
7.912342618981359e-35,1.7502677975249434e-40,0.0031622776601683794
1e-34,2.7957242463805803e-40,0.0031622776601683794
